obs,date,season,holiday,working_day,weather_condition,temp,feel_temp,humidity,wind_speed,occasional,members,rental
1,2011-01-01,1,0,0,2,14.110847,18.18125,0.805833,10.749882,331,654,985
2,2011-01-02,1,0,0,2,14.902598,17.68695,0.696087,16.652113,131,670,801
3,2011-01-03,1,0,1,1,8.050924,9.47025,0.437273,16.636703,120,1229,1349
4,2011-01-04,1,0,1,1,8.2,10.6061,0.590435,10.739832,108,1454,1562
5,2011-01-05,1,0,1,1,9.305237,11.4635,0.436957,12.5223,82,1518,1600
6,2011-01-06,1,0,1,1,8.378268,11.66045,0.518261,6.0008684,88,1518,1606
7,2011-01-07,1,0,1,2,8.057402,10.44195,0.498696,11.304642,148,1362,1510
8,2011-01-08,1,0,0,2,6.765,8.1127,0.535833,17.875868,68,891,959
9,2011-01-09,1,0,0,1,5.671653,5.80875,0.434167,24.25065,54,768,822
10,2011-01-10,1,0,1,1,6.184153,7.5444,0.482917,14.958889,41,1280,1321
11,2011-01-11,1,0,1,2,6.932731,9.5732,0.686364,8.182844,43,1220,1263
12,2011-01-12,1,0,1,1,7.081807,8.02365,0.599545,20.410009,25,1137,1162
13,2011-01-13,1,0,1,1,6.765,7.54415,0.470417,20.167,38,1368,1406
14,2011-01-14,1,0,1,1,6.59567,9.42065,0.537826,8.478716,54,1367,1421
15,2011-01-15,1,0,0,2,9.566653,12.4056,0.49875,10.583521,222,1026,1248
16,2011-01-16,1,0,0,1,9.498347,11.71085,0.48375,12.625011,251,953,1204
17,2011-01-17,1,1,0,2,7.209153,8.83855,0.5375,12.999139,117,883,1000
18,2011-01-18,1,0,1,2,8.883347,11.61665,0.861667,9.833925,9,674,683
19,2011-01-19,1,0,1,2,11.979134,14.9211,0.741739,13.957239,78,1572,1650
20,2011-01-20,1,0,1,2,10.728347,12.7525,0.538333,13.125568,83,1844,1927
21,2011-01-21,1,0,1,1,7.2775,7.89165,0.457083,23.667214,75,1468,1543
22,2011-01-22,1,0,0,1,2.4243464,3.95348,0.4,11.52199,93,888,981
23,2011-01-23,1,0,0,1,3.9573897,4.941955,0.436522,16.5222,150,836,986
24,2011-01-24,1,0,1,1,3.9930433,5.8965,0.491739,10.60811,86,1330,1416
25,2011-01-25,1,0,1,2,9.162598,11.7263,0.616957,8.696332,186,1799,1985
26,2011-01-26,1,0,1,3,8.9175,10.18,0.8625,19.68795,34,472,506
27,2011-01-27,1,0,1,1,7.995,10.985,0.6875,7.627079,15,416,431
28,2011-01-28,1,0,1,2,8.342598,11.16585,0.793043,8.2611,38,1129,1167
29,2011-01-29,1,0,0,1,8.057402,10.6063,0.651739,9.739455,123,975,1098
30,2011-01-30,1,0,0,1,8.877402,12.5161,0.722174,4.9568342,140,956,1096
31,2011-01-31,1,0,1,2,7.414153,9.3125,0.60375,12.541864,42,1459,1501
32,2011-02-01,1,0,1,2,7.879134,11.7265,0.829565,3.565271,47,1313,1360
33,2011-02-02,1,0,1,2,10.66,12.72085,0.775417,17.708636,72,1454,1526
34,2011-02-03,1,0,1,1,7.665237,8.8939,0.437826,18.609384,61,1489,1550
35,2011-02-04,1,0,1,2,8.663464,11.42935,0.585217,8.565213,88,1620,1708
36,2011-02-05,1,0,0,2,9.566653,12.1529,0.929167,10.792293,100,905,1005
37,2011-02-06,1,0,0,1,11.719153,14.58355,0.568333,9.5006,354,1269,1623
38,2011-02-07,1,0,1,1,11.138347,15.1829,0.738333,3.0423561,120,1592,1712
39,2011-02-08,1,0,1,1,9.054153,9.9123,0.537917,24.25065,64,1466,1530
40,2011-02-09,1,0,1,2,5.526103,7.21415,0.494783,12.652213,53,1552,1605
